Original	LSTM_Sensitivity	BinaryS1ensitivity
1	a beguiling splash of pastel colors and prankish comedy from disney .  </s> 	1.29900532074242	1.41175600394878
2	a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .  </s> 	1.04770765724642	1.45147076835514
3	... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause .  </s> 	1.71676827759651	1.20704782632977
4	about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological .  </s> 	1.04113981368272	1.59303113029365
5	a by-the-numbers effort that wo n't do much to enhance the franchise .  </s> 	1.19082907444154	1.76890588312064
6	a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences .  </s> 	1.58050695185681	2.19752530381589
7	a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors .  </s> 	1.37084593555237	4.52937169951088
8	a deep and meaningful film .  </s> 	1.28587118668571	1.05545242827956
9	a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work .  </s> 	1.29726687715052	1.32442709448772
10	a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .  </s> 	2.51322253148083	1.68995307617347
11	a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .  </s> 	1.0936209646739	1.01265880339408
12	a fast , funny , highly enjoyable movie .  </s> 	0.850761549244779	1.22259093781228
13	affleck and jackson are good sparring partners .  </s> 	1.57403665414859	1.69034529862782
14	a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .  </s> 	2.3558557934877	2.34805910753358
15	a giggle a minute .  </s> 	1.11894871932148	1.66447462839167
16	a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama .  </s> 	0.751584302755933	0.955691379034969
17	a gorgeous , witty , seductive movie .  </s> 	0.853562298424155	0.930553704783532
18	a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar .  </s> 	1.62452235886746	3.84872697872161
19	a gripping movie , played with performances that are all understated and touching .  </s> 	0.871029978674207	1.32377039893901
20	... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .  </s> 	1.41237283272973	1.24946017372926
21	all-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us .  </s> 	2.01946244367604	1.61886201471449
22	allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker .  </s> 	0.857325489299745	1.76381984548261
23	all that 's missing is the spontaneity , originality and delight .  </s> 	1.66432219949949	1.68584984442318
24	although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .  </s> 	1.20362058231018	1.56349811349399
25	altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .  </s> 	2.74518482403474	1.78790056190777
26	a misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment .  </s> 	3.00350747066365	1.51908353309147
27	among the year 's most intriguing explorations of alientation .  </s> 	1.4818990330453	1.22732832127095
28	a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair .  </s> 	1.14012987156957	1.27887777882988
29	a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .  </s> 	0.901278819943485	1.22903388206619
30	an artful , intelligent film that stays within the confines of a well-established genre .  </s> 	0.808670432074982	1.2046317607277
31	and that leaves a hole in the center of the salton sea .  </s> 	2.05410242225623	1.82121552167879
32	and the lesson , in the end , is nothing new .  </s> 	2.226865048262	2.23233149972849
33	an entertaining , colorful , action-filled crime story with an intimate heart .  </s> 	0.751627043966745	1.02219325905315
34	a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes .  </s> 	1.09440773029477	1.11335524654327
35	an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .  </s> 	1.74799781240333	1.84379563362015
36	an occasionally funny , but overall limp , fish-out-of-water story .  </s> 	2.34139339581489	1.43655506623114
37	an operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .  </s> 	1.79453969609226	1.61763059101785
38	another in-your-face wallow in the lower depths made by people who have never sung those blues .  </s> 	2.54341540364114	1.87985084530495
39	an overemphatic , would-be wacky , ultimately tedious sex farce .  </s> 	3.0546197267086	1.75062568825129
40	an unwise amalgam of broadcast news and vibes .  </s> 	1.48466856720374	1.29648125310586
41	a painfully funny ode to bad behavior .  </s> 	0.937690201434479	1.78307667229557
42	a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable .  </s> 	0.886885445110661	2.11328814026201
43	a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana .  </s> 	1.26027482699957	1.92825468693156
44	a rarity among recent iranian films : it 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight .  </s> 	0.852926008247948	1.62548414510517
45	a rewarding work of art for only the most patient and challenge-hungry moviegoers .  </s> 	0.843885976223936	1.50854918961811
46	as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul .  </s> 	1.57786936216443	1.47040775941407
47	a sequence of ridiculous shoot - 'em - up scenes .  </s> 	1.71145931331646	2.27430578811765
48	a solid examination of the male midlife crisis .  </s> 	0.852321202825862	1.32920688690616
49	a solid film ... but more conscientious than it is truly stirring .  </s> 	0.89641646945622	1.54049918569624
50	a sometimes tedious film .  </s> 	1.34051789088615	1.2978645784337
51	as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .  </s> 	1.3890798543036	1.45723883270434
52	as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers .  </s> 	1.37667869994792	1.25831143380654
53	a string of rehashed sight gags based in insipid vulgarity .  </s> 	2.37382802499382	1.1968353446917
54	a subtle and well-crafted ( for the most part ) chiller .  </s> 	0.852549923873524	1.54587561594768
55	as unseemly as its title suggests .  </s> 	1.72184339902817	1.30728598373065
56	as vulgar as it is banal .  </s> 	0.862512840488977	1.31345677664378
